Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
16:58:27:43,5.224,-0.109,-0.191,0.061,1.695,40.401,16.062
16:58:27:458,5.251,-0.086,0.122,0.141,-0.354,41.267,12.169
16:58:27:485,5.278,-0.086,0.122,0.141,-0.354,41.267,12.169
16:58:27:512,5.305,-0.086,0.122,0.141,-0.354,41.267,12.169
16:58:27:539,5.333,-0.144,0.054,0.265,-2.238,41.141,7.446
16:58:27:567,5.360,-0.153,0.158,0.297,-2.714,41.390,6.450
16:58:27:593,5.387,-0.191,0.171,0.325,-3.368,41.822,5.294
16:58:27:621,5.414,-0.214,0.232,0.386,-3.790,42.035,4.707
16:58:27:648,5.441,-0.225,0.175,0.431,-4.309,41.950,4.146
16:58:27:675,5.469,-0.225,0.175,0.431,-4.309,41.950,4.146
16:58:27:703,5.496,-0.182,0.156,0.356,-4.838,40.609,4.866
16:58:27:729,5.523,-0.057,0.214,0.252,-5.039,38.928,6.880
16:58:27:757,5.551,-0.057,0.214,0.252,-5.039,38.928,6.880
16:58:27:784,5.578,0.026,0.162,0.094,-4.094,34.693,13.339
16:58:27:811,5.605,0.087,0.197,0.009,-3.195,32.798,16.281
16:58:27:839,5.632,0.087,0.197,0.009,-3.195,32.798,16.281
16:58:27:865,5.659,0.230,0.047,-0.083,1.245,28.377,25.483
16:58:27:893,5.686,0.259,0.048,-0.150,2.927,27.527,28.464
16:58:27:919,5.713,0.259,0.048,-0.150,2.927,27.527,28.464
16:58:27:947,5.740,0.259,0.048,-0.150,2.927,27.527,28.464
16:58:27:974,5.767,0.257,-0.250,-0.304,10.834,28.573,42.100
16:58:28:001,5.794,0.257,-0.250,-0.304,10.834,28.573,42.100
16:58:28:028,5.821,0.259,-0.290,-0.303,12.833,29.584,45.119
16:58:28:055,5.848,0.263,-0.414,-0.310,15.437,31.218,48.362
16:58:28:082,5.876,0.271,-0.399,-0.301,15.531,32.535,49.142
16:58:28:11,5.903,0.270,-0.399,-0.303,14.660,33.992,49.051
16:58:28:139,5.933,0.274,-0.357,-0.344,13.502,35.197,48.430
16:58:28:167,5.960,0.281,-0.248,-0.344,11.088,37.251,46.553
16:58:28:194,5.988,0.286,-0.154,-0.328,9.276,38.724,44.583
16:58:28:221,6.015,0.286,-0.154,-0.328,9.276,38.724,44.583
16:58:28:249,6.042,0.286,-0.154,-0.328,9.276,38.724,44.583
16:58:28:276,6.070,0.224,0.395,-0.326,2.125,45.692,29.914
16:58:28:303,6.096,0.133,0.641,-0.014,0.250,49.186,22.082
16:58:28:33,6.124,0.057,0.749,0.202,-0.626,51.342,16.389
16:58:28:357,6.151,-0.173,0.417,0.413,-1.104,54.222,8.284
16:58:28:385,6.178,-0.294,0.009,0.459,-0.963,55.951,3.722
16:58:28:412,6.205,-0.209,-0.031,0.369,-0.403,58.071,-0.966
16:58:28:44,6.233,-0.108,-0.011,0.177,0.601,60.024,-2.696
16:58:28:467,6.260,-0.114,0.009,0.142,1.540,62.237,-2.086
16:58:28:495,6.288,-0.297,-0.015,0.189,3.983,71.055,4.008
16:58:28:522,6.315,-0.299,-0.062,0.232,4.959,78.216,9.224
16:58:28:549,6.342,-0.299,-0.062,0.232,4.959,78.216,9.224
16:58:28:577,6.370,-0.240,-0.151,0.263,5.396,84.941,14.087
16:58:28:604,6.397,-0.161,-0.260,0.124,5.553,92.288,19.244
16:58:28:631,6.425,-0.116,-0.229,-0.027,5.266,95.710,21.445
16:58:28:658,6.451,-0.116,-0.328,0.012,4.678,97.382,21.999
16:58:28:685,6.479,-0.032,-0.256,0.053,3.974,98.414,21.938
16:58:28:712,6.505,-0.022,-0.161,0.032,2.653,99.505,21.033
16:58:28:739,6.533,0.009,-0.126,0.046,1.725,99.813,19.950
16:58:28:766,6.560,0.009,-0.126,0.046,1.725,99.813,19.950
16:58:28:793,6.586,0.153,0.156,0.107,-0.948,99.296,15.289
16:58:28:821,6.614,0.153,0.156,0.107,-0.948,99.296,15.289
16:58:28:848,6.641,0.264,0.279,0.314,-4.800,97.875,7.273
16:58:28:875,6.668,0.264,0.279,0.314,-4.800,97.875,7.273
16:58:28:902,6.696,0.262,0.186,0.418,-7.395,95.346,1.636
16:58:28:93,6.723,0.247,0.130,0.431,-8.089,93.585,0.130
16:58:28:957,6.750,0.268,0.141,0.405,-8.760,90.698,-1.455
16:58:28:984,6.777,0.285,0.089,0.419,-8.609,88.941,-2.071
16:58:29:011,6.804,0.268,-0.004,0.465,-8.061,88.456,-1.984
