"","stX","stY","angle","disALL","travelDIS","travelANG","Dur","meanCur","meanCur2","sdCur","sdCur2","S","endX","endY","mark","noperson","noslide"
"207",175,231,-3.00292762138391,152.709691899368,153.689765118703,-23.9599421374313,106,-0.347532574977044,-0.0210740487045575,0.668200887761196,0.0416388821754012,0.993623041725795,327.5,223,2,9,3
"208",135,196,4.37774092874009,209.611545483544,209.718512423116,16.2902696091506,116,0.11451965560391,0.00453470765453939,0.149304105369048,0.00791930018682035,0.999489949941299,344,212,2,9,4
"214",205,185,-7.18853714273665,111.879399354841,112.197555549949,-14.8774675468391,88,-0.137510972750106,-0.00254725914114605,0.120216206725463,0.00235102803284249,0.997164321508177,316,171,2,9,10
"215",140,220,5.39526456821309,180.80099557248,180.972866657093,17.4045163816531,106,0.227371533200675,0.0139739295503075,0.307230436462689,0.0231920512168961,0.999050293628056,320,237,2,9,11
"219",112,220,2.28048532468188,226.179132547634,226.255920996774,6.25121664311543,105,0.0203072196648718,0.00027830017200965,0.030656170844517,0.000468486889272741,0.999660612421535,338,229,2,9,15
"222",160,258,-5.01985364201955,148.569848892701,149.773788613091,-17.4899894687531,87,-0.164521920977399,-0.00866593103696821,0.191081109374358,0.00865684523304597,0.991961612699132,308,245,2,9,18
"223",143,181,2.03800164789646,193.096411208687,198.286048954185,-0.982545282857155,128,-0.0506424842170765,-0.0020280096078072,0.362676569426093,0.00850850480060617,0.973827519521068,335.97427,187.86696,2,9,19
"224",147,166,-1.03224469156573,222.036033111745,222.645599583472,-11.232687526998,118,-0.100586041578128,-0.00338087338447744,0.187887529585771,0.00624879916081293,0.997262166991544,369,162,2,9,20
"225",136,174,4.32764820310819,185.528973478538,185.661846399082,18.2985061843375,129,0.207190670951711,0.0157822477869037,0.29375368651346,0.029546806803574,0.999284328346823,321,188,2,9,21
"226",79,211,-4.46231429862455,276.337655776407,282.713241903144,-0.146335056305263,117,0.135872504549167,0.00653548146352425,0.531429283454529,0.016706773620024,0.977448576218721,354.5,189.5,2,9,22
"239",163,157,2.59350644478905,143.647137110351,143.672118252911,7.68853040126259,73,0.0557943264851669,0.00127056069300138,0.0357245441582594,0.000918407062193021,0.999826123935084,306.5,163.5,2,10,10
"240",134,151,-8.93956500315152,135.141592413291,135.282181003002,-29.155073520834,85,-0.257032060988797,-0.00733836704503608,0.185628633954496,0.00743079239606674,0.99896077525755,267.5,130,2,10,11
"248",163,205,-8.82637095422792,162.92943257742,162.970054292338,-26.9456368437319,89,-0.188225454523195,-0.00427128968842447,0.0902130671772903,0.00301711168102444,0.999750741232222,324,180,2,11,5
"249",121,201,4.79504237054537,227.295512494198,227.372797218568,10.4009884358992,84,0.0391600793829517,0.000512521549833152,0.0403023997235663,0.000678422443897525,0.999660096874754,347.5,220,2,11,6
"272",45,186,5.42681249857282,301.350709307279,315.098363222782,59.1578171557913,204,0.580427892585876,0.0670496661398529,1.35753273248436,0.161651076261872,0.95637027823663,345,214.5,2,12,9
"273",67,218,2.32438297094815,271.223155353668,279.100002074418,26.1486877216703,195,0.793941317979043,0.504320452006331,2.21785483640931,1.5039283709424,0.97177769021066,338,229,2,12,10
"301",113,241,-13.4595439378915,277.110988594823,291.101953443316,-122.589188549477,116,-1.44118966548625,-0.0797611162029445,2.57079204178323,0.154454355003616,0.951937921807118,382.5,176.5,2,13,4
"310",158,239,-1.13069095123797,152.029602380589,152.052781204479,-5.6810533608574,106,-0.0542080155210954,-0.00235149070654847,0.0516979627187799,0.0029427270298277,0.999847560671328,310,236,2,13,13
"311",143,220,2.76254283270084,191.784560608988,193.086685479362,-5.29397113336868,97,-0.189131608407653,-0.0101598511175215,0.470397632474216,0.0201846661114192,0.993256267944414,334.56168,229.2434,2,13,14
"313",203,219,0,79,79.0051760945454,-2.71203301257748,52,-0.362042320610216,-0.0920810358110236,0.514836034200429,0.130259962942708,0.999934484108494,282,219,2,13,16
"314",49,184,3.02212666946544,322.448445491679,323.216305224758,9.25083522443006,117,0.0177456615498532,3.15464723458971e-05,0.0803391750488597,0.0013083938765878,0.997624316222088,371,201,2,13,17
"319",208,202,-0.888235495239771,129.015502944414,129.04179397548,-2.3942699314624,97,-0.0166703967709299,-0.000348209019603511,0.0288739741895827,0.000603115713607028,0.999796259566326,337,200,2,13,22
