"","stX","stY","angle","disALL","travelDIS","travelANG","Dur","meanCur","meanCur2","sdCur","sdCur2","S","mark","noperson","noslide"
"60",292,165,3.31778116833484,207.34753434753,207.525209301591,10.6499207746802,117,-0.181100381230595,-0.0559378265064948,0.66115917252201,0.14274914751446,0.99914383917665,1,5,4
"61",285,155,4.95782520795078,208.279259649155,209.777269437511,31.4047301512195,127,0.159902596331732,0.00492933705955942,0.199742884663508,0.00570677587895859,0.992859046204705,1,5,5
"63",299,155,8.83537321344949,195.317689931045,195.660029015971,38.9263303007142,127,-0.558718503432715,-0.759121645439605,1.92877619231089,1.87487687077664,0.998250337145263,1,5,7
"66",267,160,0.609506576675196,188.010637996896,188.243521975361,7.1935091369279,97,0.692681751447825,0.464216424751321,1.52597781360765,1.03754004008908,0.998762857940499,1,5,10
"67",274,148,5.95428482993958,209.37423820435,211.278494719131,23.988522891698,105,0.115277129452213,0.00344247560523971,0.185588354889113,0.00528524393305832,0.990986983709289,1,5,11
"68",293,180,1.03138135989443,146.148658075477,146.246910829166,4.0426969742049,98,0.0270184957046062,0.000720091823397944,0.0710328245118647,0.00203459547394577,0.999328172108857,1,5,12
"69",293,174,11.6893691754392,207.299300529452,207.918312902511,78.0115318321697,127,2.25567648725076,1.97485989149051,5.13799977254371,5.19873795640193,0.997022809754379,1,5,13
"70",287,152,3.39052082325345,208.834037653683,208.939192530407,16.4929433253334,115,0.0776117928869828,0.00184425561599844,0.0462668144467489,0.00107330773189049,0.99949672019189,1,5,14
"71",300,161,4.04531645982506,228.799458668315,229.679998641231,13.9935407626275,105,0.0558480588340335,0.000956365509887771,0.0945350942290816,0.00178728991249497,0.996166231373539,1,5,15
"72",240,142,8.1085382680409,187.878285067753,187.980342678941,30.8029198747092,97,0.175947029853787,0.00475269527922979,0.0545068000361735,0.00337493813851611,0.999457083598568,1,5,16
"73",249,151,-0.215396652607076,133.000939846303,133.372549672711,3.38855105236336,85,0.0623252539319519,0.00328391251537756,0.194180941714335,0.00796887572743728,0.997213745802122,1,5,17
"74",287,173,1.85959933874556,154.081147451594,154.081147451594,1.85959933874556,107,0.0120689608657656,7.83286019437074e-05,0,0,1,1,5,18
"75",253,171,0,139,139,0,98,0,0,0,0,1,1,5,19
"76",192,202,-3.301865674435,156.259399717265,156.259399717265,-3.301865674435,128,-0.021130669133565,-0.000135228147374166,0,0,1,1,5,20
"77",283,239,7.98713127344809,226.699139830746,227.171980057879,43.5663170278917,105,0.276493249913333,0.011498905126332,0.270410604950947,0.0177742729720946,0.99791858033278,1,6,1
"78",306,226,15.3115862729947,266.976590734094,270.294556782539,66.8089052473959,105,0.232745609629133,0.00427478077160391,0.254854860845304,0.00608517510991188,0.98772462868679,1,6,2
"79",286,207,15.909067102882,214.713789762293,215.898106453256,59.2660994184418,98,0.289062221114063,0.00615191001040146,0.170942571403011,0.00431985278575852,0.994514464668456,1,6,3
"80",308,249,7.23237870827765,198.579958706814,200.427299802218,57.1408643148642,126,0.769532549194558,0.0678778927230902,1.46799627303912,0.146481453166379,0.990782986662859,1,6,4
"83",267,222,21.0794607294693,174.836486048556,175.654445179604,59.02439113862,66,0.345695514151131,0.00689242220221237,0.0707415027609732,0.00422411346404149,0.995343362189259,1,6,7
"84",271,220,18.7859139861636,206.500605325989,207.568620685309,53.5218388676207,66,0.252987365271298,0.00373706098958969,0.067879849277577,0.000906970347902443,0.994854639608851,1,6,8
"85",287,219,13.5513871463375,165.017774766888,165.596269098897,52.6267682171802,87,0.3307931319511,0.00892760695537057,0.185098727291948,0.00730804223146242,0.996506598034142,1,6,9
"86",317,214,14.7016697563079,208.837257212405,209.898240360481,76.7419594726109,105,15.0560172153406,63.5303401475642,32.9527902939609,142.041708794016,0.994945249916083,1,6,10
"87",330,185,18.7070818091419,249.374314839733,250.900704108727,70.6303977401477,116,0.306332324241907,0.00588263175728286,0.15770803770422,0.00430650949741092,0.993916361158032,1,6,11
"88",273,268,-0.661584677694151,216.514433699003,218.480680624556,-31.7074955632571,159,-0.354893474743085,-0.0249426850165911,0.514838832257546,0.031545973954856,0.991000362503761,1,7,1
"89",273,246,0.26717220251635,194.329092731546,194.432057999428,1.36157089099683,98,0.00706364480430329,0.000181853301565151,0.0489005940470693,0.00118427214196474,0.999470430602131,1,7,2
"90",303,255,-0.171031669649913,167.500746266994,169.139887621214,-7.22888638237489,137,-0.0889529787417709,-0.0053773454881494,0.459892697129291,0.0219248180235528,0.990308960368411,1,7,3
"93",297,224,1.73570458892839,99.0454441153151,99.912746400206,-9.54571529536886,113,-0.821316406621936,-0.242297415580507,2.18028049928441,0.593642323881715,0.99131940301774,1,7,6
"94",299,221,0,135,135.989262337272,0.203236182640877,108,0.00390469796442274,0.000248197886849348,0.264166545589643,0.00929910301707724,0.992725437874507,1,7,7
"95",298,242,0.57770917529018,184.258146261698,186.521828197212,-21.6520324086645,170,-0.331629690715293,-0.0274686525226064,0.762518535419451,0.055112774881924,0.987863715698089,1,7,8
"98",294,212,6.12220154688734,156.106422821204,157.017022700511,29.8876861826699,101,0.135653125314077,0.000809909957012431,0.401547017213451,0.0258046654176162,0.994200629564583,1,7,11
"99",301,210,4.19418278839086,150.402792527267,150.937731471207,15.5127430413123,110,-0.130165258174659,-0.0777915507218559,0.618523189271414,0.199009196012733,0.99645589648972,1,7,12
"100",315,190,15.1009151285933,261.881001671887,271.784839504539,81.05053378596,158,0.300026128174525,0.0111339353329609,0.81116327034017,0.039355805516038,0.963560006324465,1,8,1
"101",300,200,14.7681374776887,237.340472739059,239.000400625347,69.1075849282572,108,0.283597730634742,0.00611015224626079,0.178091311081176,0.00478375824238067,0.993054706678548,1,8,2
"104",290,216,10.7842978675626,235.153141590751,236.710382920681,76.0540240662162,127,1.08743268417277,0.275700014312231,2.12209889950643,0.697368128457014,0.993421322247402,1,8,5
"105",292,227,15.7807533095154,191.206694443474,197.40787950399,520.383949838502,419,28.6073406207554,38.4983967426323,53.0766829216679,94.306459881166,0.96858694254709,1,8,6
"106",300,210,11.1787009593129,214.061322989465,215.524930823904,71.3171360412703,136,0.378580516992827,0.0129760892727307,0.326874065707559,0.0152103029256351,0.993209101940811,1,8,7
"109",304,208,11.7195566470246,153.184852415765,154.011625781786,49.571242801812,116,0.297632619276861,0.00964580434716342,0.196284523681865,0.00703209638575518,0.994631747039715,1,8,10
"110",281,138,18.6750479902425,261.591695644691,262.01400914492,117.657661631543,128,0.696520293737745,0.0337564113647607,0.637200446686449,0.0463251416038484,0.998388202594177,1,8,11
"113",318,176,17.0862267288655,255.266527378738,258.801852144623,127.779654762194,138,0.667343428216085,0.0293424759087911,0.775122464990738,0.0471200350984254,0.986339646580623,1,8,14
"114",319,197,13.0171121890775,190.905735901256,193.122112031423,103.121532121906,148,0.811712120451368,0.0794249308556277,1.41119692955547,0.19574441344068,0.988523447124445,1,8,15
"115",308,247,13.3571227142989,225.088871337523,229.885401554249,57.1474228795983,127,3.42123069552594,2.90155202056797,7.39619283722377,6.4855154136356,0.979135124786973,1,9,1
"116",309,233,9.3276145106676,209.773687577828,216.376024509939,25.4104532322951,106,1.56362576723096,0.703649997386239,3.80513627264913,1.58926479875748,0.969486744443775,1,9,2
"119",310,230,13.2938608302983,215.268437073343,220.251491846808,36.0019660766969,105,0.096421388299571,0.000471462295107157,0.336831223642883,0.00839965965821803,0.977375613977995,1,9,5
"121",297,239,4.00417294070939,100.244700608062,102.535727455355,8.88603643453608,106,0.0764542549981502,0.00547981125651937,0.798859604167003,0.0474670919622529,0.977656306692799,1,9,7
"122",290,228,8.74616226255521,203.870669788472,206.732392528643,16.5889289457105,76,-0.0282163733332149,-0.00413124241787156,0.326146876010235,0.011955267766154,0.986157356836208,1,9,8
"125",295,241,5.61758059012683,183.883115048663,185.317385869094,10.6610224548835,106,-0.0272905534118159,-0.00359827818712402,0.330148837373112,0.0123634152499994,0.992260462699145,1,9,11
"126",288,222,15.2686223039185,186.067863963662,187.441887071082,51.8015735879401,96,0.260663147080065,0.00591972430291504,0.184709253428953,0.00574171078104881,0.992669604809845,1,9,12
"127",282,190,0.303149443714127,189.002645484131,190.366721978585,6.76246913220551,149,0.0607603147267518,0.00272331151383132,0.247928197218635,0.00853643954237075,0.992834480311071,1,10,1
"128",272,187,5.01797963863456,205.78872661057,213.413139368638,14.1766487500659,149,-0.301373265252118,-0.106504806046208,0.98120405618458,0.266461014381948,0.964273929990327,1,10,2
