16:43:15:327,62.93,-0.014,-0.004,0.011,90.337,-138.764,94.475
16:43:15:328,62.931,-0.028,-0.002,-0.013,90.395,-137.883,95.471
16:43:15:607,63.21,-0.006,-0.008,-0.018,90.344,-138.723,94.689
16:43:15:669,63.272,0.008,-0.011,-0.005,90.213,-140.636,92.835
16:43:15:67,63.273,-0.012,-0.003,-0.016,90.081,-142.415,91.079
16:43:15:671,63.274,-0.03,-0.006,-0.024,89.869,-145.222,88.25
16:43:15:672,63.275,-0.017,-0.009,0.002,89.732,-146.89,86.562
16:43:15:694,63.297,-0.006,-0.013,0.023,89.678,-147.6,85.94
16:43:15:695,63.298,-0.011,0,0.006,89.638,-148.243,85.361
16:43:15:696,63.299,-0.024,0.004,-0.02,89.616,-148.674,84.98
16:43:15:697,63.3,-0.014,-0.009,-0.009,89.617,-148.692,84.998
16:43:15:746,63.349,0.031,-0.046,0.04,89.61,-148.983,84.794
16:43:15:747,63.35,0,-0.019,0,89.567,-149.945,83.974
16:43:15:748,63.351,-0.035,0.001,-0.054,89.546,-150.274,83.725
16:43:15:749,63.352,0.019,0.008,-0.002,89.549,-149.997,83.969
16:43:15:773,63.376,-0.007,-0.001,0.015,89.613,-149.352,84.53
16:43:15:774,63.377,-0.07,0.075,-0.075,89.739,-147.76,85.822
16:43:15:775,63.378,-0.064,-0.013,-0.029,89.931,-144.445,88.897
16:43:15:776,63.379,0.065,-0.043,0.101,90.199,-140.212,92.865
16:43:16:193,63.796,0.054,-0.05,0.081,90.266,-139.349,93.744
16:43:16:194,63.797,-0.009,-0.04,0.015,90.268,-138.751,94.343
16:43:16:194,63.797,-0.051,-0.032,-0.045,90.218,-138.967,94.261
16:43:16:195,63.798,-0.052,-0.029,-0.034,90.169,-140.001,93.306
16:43:16:219,63.822,-0.018,-0.013,-0.003,90.064,-142.341,91.092
16:43:16:22,63.823,-0.014,0,0.011,89.966,-144.029,89.466
16:43:16:221,63.824,-0.019,-0.002,-0.002,89.827,-146.218,87.3
16:43:16:222,63.825,-0.017,0.015,-0.001,89.732,-147.896,85.626
16:43:16:298,63.901,-0.007,0.01,-0.009,89.702,-148.521,84.986
16:43:16:299,63.902,0.007,0.003,-0.009,89.709,-148.397,85.036
16:43:16:3,63.903,0.009,-0.012,0.003,89.743,-147.767,85.609
16:43:16:373,63.976,-0.015,-0.02,0.003,89.887,-145.255,88.013
16:43:16:374,63.977,-0.009,-0.018,-0.004,89.966,-143.827,89.397
16:43:16:639,64.242,-0.019,-0.013,0,89.989,-143.414,89.809
16:43:16:64,64.243,-0.014,-0.01,-0.002,89.981,-143.418,89.668
16:43:16:641,64.244,-0.006,-0.008,-0.008,89.922,-144.395,88.683
16:43:16:667,64.27,-0.017,-0.004,-0.006,89.701,-147.849,85.187
16:43:16:667,64.27,-0.009,-0.013,-0.002,89.586,-149.495,83.515
16:43:16:668,64.271,-0.009,-0.006,-0.002,89.523,-150.367,82.614
16:43:16:668,64.271,-0.02,-0.009,-0.012,89.474,-151.048,81.846
16:43:16:718,64.321,-0.02,0.007,-0.01,89.47,-151.061,81.774
16:43:16:719,64.322,0.01,-0.093,0.057,89.51,-150.238,82.497
16:43:16:722,64.325,-0.027,-0.01,0.005,89.438,-151.623,81.089
16:43:16:722,64.325,-0.034,0,-0.035,89.371,-152.85,79.883
16:43:16:744,64.347,0.01,0.018,0.044,89.324,-152.684,80.015
16:43:16:745,64.348,0.012,0.05,0.028,89.37,-152.08,80.641
16:43:16:746,64.349,-0.047,0.066,-0.037,89.636,-149.316,83.508
16:43:16:747,64.35,-0.034,-0.037,-0.04,90.066,-141.591,91.189
16:43:16:824,64.427,0.056,-0.045,0.069,90.239,-139.06,93.753
16:43:16:824,64.427,0.013,-0.059,0.015,90.325,-137.703,95.11
16:43:16:825,64.428,-0.009,-0.058,-0.013,90.283,-137.883,94.963
16:43:16:825,64.428,-0.035,-0.02,-0.021,90.127,-140.367,92.578
16:43:17:027,64.63,-0.016,-0.003,0.001,89.98,-143.411,89.629
16:43:17:027,64.63,0.01,0.001,0.016,89.92,-144.449,88.63
16:43:17:112,64.715,-0.009,0.002,-0.009,90.104,-141.543,91.882
16:43:17:113,64.716,-0.003,-0.001,0.009,90.219,-139.639,93.788
16:43:17:113,64.716,-0.001,-0.008,0.01,90.36,-137.191,96.236
16:43:17:114,64.717,-0.006,-0.025,-0.013,90.452,-135.26,98.158
16:43:17:165,64.768,-0.003,-0.021,-0.02,90.548,-132.964,100.446
16:43:17:165,64.768,-0.002,-0.03,-0.004,90.594,-132.022,101.359
16:43:17:166,64.769,0.004,-0.02,-0.004,90.594,-132.221,101.16
16:43:17:167,64.77,-0.003,-0.024,-0.01,90.551,-133.088,100.27
16:43:17:191,64.794,-0.007,-0.016,-0.001,90.496,-134.202,99.143
16:43:17:191,64.794,0,-0.022,0.001,90.423,-135.637,97.686
16:43:17:192,64.795,-0.02,-0.003,-0.003,90.348,-136.92,96.403
16:43:17:193,64.796,-0.022,-0.012,-0.005,90.32,-137.38,95.936
16:43:17:246,64.849,-0.01,-0.001,0.001,90.282,-138.053,95.242
16:43:17:246,64.849,-0.014,-0.01,0.008,90.263,-138.385,94.923
16:43:17:246,64.849,-0.006,-0.001,0,90.232,-138.847,94.432
16:43:17:246,64.849,-0.014,-0.002,-0.011,90.207,-139.202,94.068
16:43:17:269,64.872,-0.024,-0.007,0.006,90.143,-140.325,92.91
16:43:17:27,64.873,-0.007,-0.027,0.034,90.245,-138.935,94.468
16:43:17:35,64.953,-0.029,0.008,-0.001,90.142,-141.662,92.104
16:43:17:35,64.953,0.001,0.043,0.009,90.295,-139.503,94.342
16:43:17:35,64.953,-0.048,0.035,-0.012,90.407,-136.475,97.269
16:43:17:35,64.953,-0.001,-0.032,-0.059,90.681,-128.628,105.07
16:43:17:418,65.021,-0.013,-0.045,-0.034,90.802,-126.505,107.084
16:43:17:611,65.214,0.051,-0.043,0.047,90.757,-129.134,104.349
16:43:17:611,65.214,0.014,-0.054,0.006,90.559,-131.87,101.487
16:43:17:612,65.215,-0.001,-0.013,0.002,90.271,-137.318,96.008
16:43:17:613,65.216,-0.006,0.001,0.014,90.099,-141.311,92.068
16:43:17:637,65.24,0.01,0.007,0.038,89.996,-143.568,89.922
16:43:17:638,65.24,-0.006,0.01,-0.005,90.015,-143.31,90.288
16:43:17:638,65.241,-0.024,0.022,-0.021,90.088,-141.888,91.881
16:43:17:639,65.242,-0.033,0.003,-0.03,90.164,-140.227,93.631
16:43:17:689,65.292,-0.007,-0.005,-0.008,90.199,-139.529,94.32
16:43:17:69,65.293,0.004,-0.017,0.002,90.206,-139.421,94.379
16:43:17:691,65.294,-0.009,-0.013,-0.004,90.198,-139.417,94.33
16:43:17:692,65.295,-0.015,-0.02,-0.013,90.194,-139.102,94.572
16:43:17:716,65.319,-0.008,-0.014,-0.004,90.202,-138.806,94.804
16:43:17:716,65.319,0.002,-0.021,0.003,90.208,-138.784,94.797
