Time,Second,AccelerationX,AccelerationY,AccelerationZ,EulerAnglesX,EulerAnglesY,EulerAnglesZ
14:28:27:271,14.333,-0.085,-0.010,-0.072,-15.046,102.633,-3.662
14:28:27:406,14.468,-0.070,-0.005,-0.056,-14.784,101.921,-2.197
14:28:27:406,14.468,-0.034,-0.007,0.002,-14.474,101.395,-0.767
14:28:27:455,14.517,0.005,0.012,-0.035,-14.271,101.075,0.093
14:28:27:614,14.676,0.023,0.055,-0.045,-13.916,100.537,1.363
14:28:27:615,14.677,0.002,0.011,-0.055,-13.669,100.117,2.144
14:28:27:692,14.754,-0.013,0.022,-0.059,-13.277,99.502,3.295
14:28:27:693,14.755,-0.053,0.003,-0.060,-13.007,99.187,3.958
14:28:27:805,14.866,-0.046,0.006,-0.062,-12.580,98.753,5.131
14:28:27:806,14.867,-0.152,-0.012,-0.069,-12.277,98.531,6.243
14:28:27:806,14.868,-0.005,0.014,-0.035,-11.677,98.632,8.582
14:28:27:807,14.868,0.096,0.094,-0.101,-11.244,98.705,9.539
14:28:27:825,14.887,-0.147,0.068,-0.033,-8.520,129.818,15.295
14:28:27:826,14.888,-0.143,0.130,-0.042,-7.847,129.599,16.460
14:28:27:851,14.913,-0.214,0.177,-0.108,-6.582,129.175,18.328
14:28:27:852,14.914,-0.308,0.192,-0.203,-5.559,128.880,19.645
14:28:28:175,15.237,-0.448,0.245,-0.217,-3.803,128.665,21.804
14:28:28:175,15.237,-0.509,0.242,-0.281,-1.631,128.446,24.390
14:28:28:176,15.238,-0.632,0.129,-0.373,0.236,127.986,26.348
14:28:28:177,15.239,-0.525,0.168,-0.375,3.722,126.932,29.842
14:28:28:189,15.251,-0.444,0.340,-0.280,6.353,126.271,32.639
14:28:28:373,15.435,-0.520,0.252,-0.398,9.998,125.793,37.462
14:28:28:487,15.548,-0.648,-0.402,-0.400,13.317,125.762,41.838
14:28:28:488,15.549,-0.521,-0.516,-0.319,15.478,125.674,43.951
14:28:28:488,15.550,-0.420,-0.560,-0.377,18.577,125.177,45.967
14:28:28:507,15.569,-0.259,-0.350,-0.272,14.688,119.431,34.110
14:28:28:508,15.570,-0.309,-0.183,-0.330,11.304,117.944,28.207
14:28:28:793,15.855,-0.163,0.105,-0.278,4.926,116.482,17.354
14:28:28:909,15.971,-0.038,0.305,-0.156,0.916,116.828,10.668
14:28:28:909,15.971,0.366,0.562,0.442,-8.058,122.963,-5.974
14:28:28:909,15.971,0.590,0.512,0.627,-11.118,127.534,-13.113
14:28:28:91,15.972,1.089,0.219,0.791,-13.829,132.413,-19.389
14:28:29:484,16.545,1.564,0.051,0.735,-15.289,135.069,-22.729
14:28:29:485,16.546,1.714,-0.249,1.025,-16.050,137.400,-25.424
14:28:29:486,16.547,0.587,-0.221,1.042,-15.259,138.230,-24.807
14:28:29:581,16.643,0.458,0.326,0.223,-13.803,139.128,-21.810
14:28:29:643,16.705,-0.003,0.056,-0.053,-13.575,140.119,-10.167
14:28:29:643,16.705,-0.071,0.019,0.041,-13.816,140.122,-9.113
14:28:29:644,16.706,-0.039,0.001,0.068,-14.039,139.913,-7.518
14:28:29:644,16.706,-0.038,0.017,-0.053,-14.085,139.312,-6.409
14:28:29:663,16.725,-0.009,0.043,0.012,-13.931,138.201,-3.440
14:28:29:663,16.725,-0.018,0.019,-0.011,-12.044,136.476,3.036
14:28:29:693,16.755,0.006,0.036,-0.084,-11.747,136.597,3.998
14:28:29:695,16.757,-0.003,0.038,-0.102,-11.375,136.562,4.955
14:28:29:695,16.757,-0.034,0.016,-0.084,-11.107,136.515,5.615
14:28:29:696,16.758,-0.045,0.066,-0.056,-10.620,136.481,6.577
14:28:29:747,16.809,-0.064,0.054,-0.051,-10.131,136.352,7.752
14:28:29:747,16.809,-0.079,0.026,-0.082,-9.715,136.188,8.527
14:28:29:748,16.810,-0.555,0.103,-0.366,2.718,132.725,22.189
14:28:29:8,16.862,-0.529,0.295,-0.206,8.421,131.794,27.307
14:28:29:801,16.863,-0.499,0.335,-0.246,11.316,133.385,32.158
14:28:29:801,16.863,-0.665,-0.176,-0.199,12.922,135.073,35.565
14:28:29:802,16.864,0.935,0.108,0.079,-9.968,170.275,-18.483
14:28:30:134,17.196,1.152,-0.067,-0.024,-11.200,174.655,-22.591
14:28:30:164,17.225,1.563,-0.276,-0.130,-11.714,178.392,-25.012
14:28:30:164,17.226,1.331,-0.143,-0.192,-11.647,179.870,-25.208
14:28:30:165,17.227,0.273,0.075,-0.322,-10.426,-178.697,-21.407
14:28:30:324,17.386,-0.007,-0.046,-0.107,-10.124,-178.225,-19.230
14:28:30:325,17.387,-0.021,-0.093,-0.010,-10.109,-177.101,-17.921
14:28:30:402,17.464,-0.048,-0.026,-0.061,-11.159,-175.943,-13.565
14:28:30:429,17.491,-0.017,0.036,-0.062,-11.413,-175.702,-12.611
14:28:30:43,17.492,-0.026,0.007,-0.060,-11.878,-175.170,-11.075
14:28:30:431,17.493,-0.009,0.002,0.037,-12.418,-174.869,-9.495
14:28:30:432,17.494,-0.016,-0.004,0.079,-12.750,-174.807,-8.457
14:28:30:533,17.594,0.022,0.009,0.059,-13.138,-174.811,-6.957
14:28:30:533,17.594,-0.073,0.037,-0.073,-13.368,-174.935,-5.991
14:28:30:533,17.595,0.019,0.009,0.017,-13.534,-175.048,-4.645
14:28:30:735,17.797,-0.031,-0.002,0.023,-13.595,-175.084,-3.418
14:28:30:928,17.990,-0.064,0.025,-0.001,-13.585,-175.193,-2.640
14:28:30:928,17.990,0.024,0.037,-0.135,-13.479,-175.178,-1.498
14:28:30:929,17.991,0.003,0.028,-0.066,-13.291,-175.109,-0.759
14:28:30:973,18.035,-0.042,0.002,0.015,-12.726,-175.845,1.282
14:28:31:077,18.139,-0.059,-0.016,0.020,-12.132,-176.009,2.756
14:28:31:164,18.226,-0.031,0.021,-0.004,-11.941,-176.059,3.286
14:28:31:165,18.227,-0.065,-0.026,-0.020,-11.643,-176.134,4.051
14:28:31:165,18.227,-0.056,0.015,0.009,-11.496,-176.118,4.540
14:28:31:166,18.228,-0.055,0.043,-0.030,-10.850,-175.780,6.679
14:28:31:21,18.272,-0.083,0.010,-0.040,-10.448,-177.045,7.644
14:28:31:237,18.299,-0.073,0.041,-0.035,-10.126,-177.052,8.336
14:28:31:238,18.300,-0.040,0.044,0.009,-9.490,-178.151,9.237
14:28:31:271,18.333,-0.076,0.061,-0.015,-8.776,-178.183,10.349
14:28:31:272,18.334,-0.116,0.115,-0.028,-8.264,-179.366,11.124
14:28:31:273,18.335,-0.105,0.120,-0.024,-7.424,-179.433,12.370
14:28:31:274,18.336,-0.120,0.127,-0.026,-6.791,179.406,13.243
14:28:31:293,18.355,-0.171,0.144,0.043,-5.655,179.071,14.641
14:28:31:293,18.355,-0.160,0.159,0.045,-4.767,177.879,15.622
14:28:31:294,18.356,-0.257,0.146,0.030,-3.250,177.686,17.121
14:28:31:321,18.383,-0.332,0.173,0.043,-0.144,176.325,19.907
14:28:31:322,18.384,-0.160,-0.240,0.156,20.053,178.712,41.722
14:28:31:348,18.410,-0.256,-0.426,0.238,15.479,-177.276,35.270
14:28:31:349,18.411,-0.213,-0.251,0.244,13.477,-176.946,32.125
14:28:31:35,18.411,-0.103,0.192,0.256,4.302,-175.090,17.002
14:28:31:35,18.412,0.379,0.392,0.002,-5.533,-167.604,1.527
14:28:31:375,18.437,0.467,0.338,-0.121,-8.395,-164.513,-4.389
14:28:31:375,18.437,0.500,0.277,-0.158,-10.121,-162.681,-8.292
14:28:31:376,18.438,0.648,0.164,-0.310,-12.752,-160.286,-13.856
14:28:31:377,18.439,0.683,0.132,-0.417,-14.701,-159.140,-17.198
14:28:31:399,18.461,0.588,0.028,-0.697,-17.701,-158.081,-21.378
14:28:31:4,18.462,0.558,-0.083,-0.992,-19.485,-157.521,-23.540
